"","DP063","DP108","DP123","DP137","DP138","DP140","DP151","DP184","DP195","DP206","DP229","DP235","DP237","DP064","DP132","DP147","DP173","DP099","DP102","DP107","DP122","DP124","DP126","DP129","DP139","DP143","DP157","DP179","DP192","DP193","DP197","DP096","DP106","DP112","DP114","DP117","DP152","DP162","DP167","DP169","DP174","DP176","DP208"
"LPE.16.0.0",-0.735789276188797,-0.526690708456071,-0.700040980994841,-0.464368081784476,-0.62514821321317,-0.561074923058356,-0.714384957863876,-0.680696157609766,-0.66100065745356,-0.605518367323888,-0.564890462885143,-0.672432723886782,-0.741437115626369,-0.666798297922292,-0.779927713747718,-0.91598431711023,-0.583745024098284,-0.627551008352612,-0.798017456495776,-0.883373727520722,-0.514209115332419,-0.933874163228185,-0.672953210381717,-0.729190209932981,-0.609551436545207,-0.611652094415965,-0.544119340840315,-0.571849259655182,-0.725572512611604,-0.563394870167979,-0.764711822306965,-0.655383771448668,-0.333299842676517,-0.792837189202843,-0.68041347874335,-0.552314341043365,-0.715555273993829,-0.778575745988325,-0.846453460349895,-0.53999030378833,-0.668311408124785,-0.835723846729816,-0.723158923727127
"LPE.18.0.0",-0.526904580235945,-0.39317110809365,-0.481460488856317,-0.395782907176457,-0.44693588487131,-0.297303266036413,-0.395693210102253,-0.518987365483454,-0.560695523783234,-0.420476294875374,-0.491173631235576,-0.583566001809833,-0.56377368665049,-0.543967205233078,-0.547315894538856,-0.558874609154082,-0.392678373052544,-0.509819072719366,-0.765318510579547,-0.697660401711211,-0.394935148805721,-0.708883828233037,-0.573595353272471,-0.425754443013051,-0.594706957484073,-0.506733195410295,-0.396690702093302,-0.498968989108243,-0.546260697035827,-0.446500344385668,-0.488093089906229,-0.49348523656168,-0.429557336681651,-0.445959460049941,-0.526509359410386,-0.402229156283411,-0.439985261345267,-0.427231250647991,-0.611460030303577,-0.478158144779367,-0.500203824479605,-0.494090651699299,-0.841088622188378
"LPE.18.1.0",-0.562129750687014,-0.441888089456673,-0.599645697517916,-0.486525684223507,-0.686737760110149,-0.598282067238123,-0.615811481620126,-0.697119028317441,-0.608627411376284,-0.710686918760717,-0.508739123626285,-0.634592007265942,-0.739053790649742,-0.610708113865017,-0.694392435474608,-0.72894429062988,-0.475302960813667,-0.553738926288251,-0.769666377344883,-0.792403233402384,-0.786616642385686,-0.824929447538032,-0.603472999023947,-0.537639839398134,-0.645979743978617,-0.19746241844566,-0.555309457340744,-0.382683671523708,-0.741868912571974,-0.393530562886381,-0.503386429027216,-0.61244130258528,-0.517913309327827,-0.675481217917959,-0.618491941641342,-0.544324158787082,-0.600183332652524,-0.559400102851673,-0.763466980853268,-0.591424546956843,-0.594079965281511,-0.343835864053556,-0.718908355967572
"LPE.18.2.0",-0.614368470083012,-0.315164734835054,-0.357586806587259,-0.235561158156154,-0.378761700237425,-0.440097297248148,-0.681966933412113,-0.445694984221787,-0.330786850417402,-0.649521045484027,-0.338490805466807,-0.364425750204428,-0.683784820955293,-0.455045763805122,-0.366916440130072,-0.621933481584659,-0.419291235899974,-0.439308907081735,-0.65120318406327,-0.621180325972947,-0.504301381887061,-0.66578185693511,-0.515309351881559,-0.431295429169936,-0.492595661901444,-0.353112278335852,-0.353526750904824,-0.41536339234952,-0.691592888115896,-0.205372613625305,-0.345469818339714,-0.468188152265724,-0.467446587132009,-0.512052046347756,-0.262987237792527,-0.17200570172904,-0.478150117794433,-0.327679742326145,-0.621692800832324,-0.444997143055655,-0.333774845317573,-0.399235502884171,-0.775795386934493
"LPE.20.4.0",-0.432106340911095,-0.334377654254939,-0.40529814694841,-0.295692664130185,-0.445087282194132,-0.179739334169867,-0.434362402987807,-0.429640856238626,-0.356419591033416,-0.443313299189967,-0.328340094621688,-0.377596678335752,-0.724621108775155,-0.476267818960828,-0.407999593893558,-0.469623357689301,-0.270350839731853,-0.300593097567895,-0.516602727526909,-0.510436598379476,-0.453834677778377,-0.652033253840858,-0.490084528739842,-0.321473779088133,-0.476403829451681,-0.226512271828579,-0.229118268601193,-0.286994680696412,-0.524844476943446,-0.11258537742085,-0.26185537902735,-0.344770511288002,-0.634003447459598,-0.362728907737694,-0.395278996421292,-0.363676549847655,-0.357156235362818,-0.258145323584964,-0.429445193808697,-0.46012337985127,-0.455900241885937,-0.0851887880720937,-0.318455874600262
"LPE.22.6.0",-0.4466731717372,-0.517148562381497,-0.513884712394188,-0.242359354523945,-0.514644362989775,-0.282200509860861,-0.773007644827624,-0.668248426596797,-0.56547725716989,-0.520980003943611,-0.35953546767349,-0.575739766295848,-0.597461037413627,-0.59688399472993,-0.551852033253477,-0.64688180072861,-0.265159045580952,-0.414905816810345,-0.464105732109966,-0.435251108320276,-0.35059940234175,-0.856287855713224,-0.666972898310297,-0.642130339236635,-0.550450368261271,-0.71344114220709,-0.377452903278502,-0.447764172000885,-0.277003588994619,-0.341556177653037,-0.504871091508662,-0.40978694433096,-0.504637638115738,-0.402370166375308,-0.491551425568983,-0.499756648617947,-0.460986266850605,-0.364225751975315,-0.456325703993369,-0.58285151291425,-0.439560308285357,-0.671718495144402,-0.750415739421571
"PC.O.16.0.0.16.0.0",-0.880185316491063,-0.264775494644156,-0.80926801157429,-0.568750307808344,-0.646604980679281,-0.762795045258017,-0.428869971306147,-0.442828202177256,-0.459258048888291,-0.554381586857631,-0.283871840546172,-0.502263143609252,-0.55585951217343,-0.797854770505954,-0.773861872985702,-0.527961674518176,-0.506620897136984,-1.08397720474155,-0.697085258673504,-0.94950019456573,-0.486035928473553,-0.860066622242104,-0.754411763338655,-0.624803997336744,-0.483258322150102,-0.529900095994555,-0.815813373071536,-0.824442363690605,-0.853950100326987,-0.831181231310767,-0.754930308590823,-0.699667316925699,-0.807464190311354,-0.526175561016508,-0.582959839503509,-0.510935953015829,-0.708089726702634,-0.681704124640071,-0.566488923668065,-0.625554174875649,-0.612737995208949,-0.597190560301378,-0.536648889195245
"PC.O.17.0.0.15.0.0",-1.21887343351455,-1.01976239313815,-1.25710247997514,-1.14327893589838,-1.35639890471534,-1.1299399575486,-1.13349257141564,-0.825586592391424,-0.961313321118834,-1.22566404299852,-0.951597154286957,-1.16742944595522,-1.00812859581538,-1.3269333573232,-1.40495179337587,-1.22534488111622,-1.70299052270657,-1.56572933876056,-1.29169593851017,-1.57332736528,-1.17792248468871,-1.43554848636252,-1.31347049486577,-1.15701480371884,-1.23448845095389,-1.72059847524088,-1.78356566777045,-1.69248747139405,-1.33200126763258,-1.33634140244143,-1.29589399174277,-1.31397334027187,-1.15306839654112,-1.30625584532739,-1.8606182414469,-0.934058357081968,-1.07069410939202,-1.54064505767885,-0.925135786273603,-1.09137683029508,-1.02919076763648,-1.63257407674528,-0.979208422292845
"PC.O.18.0.0.14.0.0",-0.326521157852849,-0.216449524086578,-0.395793687899719,-0.393105195389183,-0.485207059517906,-0.255347217965821,-0.523729150243198,-0.514536200777327,-0.272775567495036,-0.398941014465038,-0.236115230543817,-0.466656526958163,-0.308038647668757,-0.412607258018567,-0.501581853345022,-0.352142571283935,-0.233516366037426,-0.387379863532827,-0.438930539448304,-0.755120770581532,-0.2565781358642,-0.470264108070556,-0.376979439920832,-0.212835347084902,-0.254522536007957,-0.0723538909991063,-0.605127048845398,-0.356990678852032,-0.440208413026211,-0.254286010051838,-0.461067012706918,-0.259967146559101,-0.707366274960227,-0.279922135815613,-0.364847568760543,-0.491981947188039,-0.364864811967905,-0.423927989467555,-0.382005737442316,-0.459065348636946,-0.346789839422521,-0.41880382196288,-0.241613743146849
"PC.O.16.0.0.16.1.0",-0.795517698825894,-0.685778243718761,-0.747452415770302,-0.635776518173273,-0.891211971946064,-0.763864371258446,-0.761016205115234,-0.773185159654471,-0.47506500089406,-0.820499933581997,-0.374005734835452,-0.715107632226598,-0.615618816839269,-0.714530808991698,-1.1311398487879,-0.89779294583099,-0.710058231288721,-0.800656581821254,-0.810443011782506,-0.852922524585668,-0.596525753640982,-0.820510582594432,-0.630282070728539,-0.581549433510217,-0.616288454829542,-0.277874858042585,-0.688658048981905,-0.563040663562896,-1.27298823735017,-1.11722305440832,-0.93920719536602,-1.1826875103342,-0.919828641004543,-0.631503973924555,-0.866719886071835,-0.740446346411787,-0.718371998556664,-0.704760994964246,-1.14483903061235,-0.857807472298538,-0.701140994440311,-0.573924328141012,-0.559588091142573
